Acronym,Meaning,Definition
,Riparian area,"A land area adjacent to water. Technical definition: ""riparian area"" means an area of land that (a) is adjacent to a stream, river, lake or wetland, and (b) contains vegetation that, due to the presence of water, is distinctly different from the vegetation of adjacent upland areas. (Code of British Columbia)"
RIR,Regulatory Impact Review,"RIRs are prepared to determine whether a proposed regulatory action is ""major."" The RIR examines alternative management measures and their economic impacts."
rkm,River-kilometer,
ROA,Range of alternatives,
ROD,Record of Decision,
ROV,Remotely operated vehicle,"E.g., a submarine"
RPAs,Reasonable and prudent alternatives,
,Rulemaking,"The process of developing Federal regulations which occurs in several steps, including publishing proposed rules in the Federal Register, accepting comments on the proposed rule, and publishing the final rule. An ""advanced notice of proposed rulemaking"" is published when dealing with especially important or controversial rules."
SAFE,Stock Assessment and Fishery Evaluation,"A SAFE document is a document prepared by the Council that provides a summary of the most recent biological condition of species in the fishery management unit, and the social and economic condition of the recreational and commercial fishing industries, including the fish processing sector. It summarizes, on a periodic basis, the best available information concerning the past, present, and possible future condition of the stocks and fisheries managed in the FMP."
,,
SAS,Salmon Advisory Subpanel,
,,
SDC,Status determination criteria,
Secretary,U.S. Secretary of Commerce,
SEIS,Supplemental Environmental Impact Statement,
SFA,Sustainable Fisheries Act of 1996,Amended the MSFCMA.
SFO,Sustainable Fisheries Office (NMFS),
,Shelf rockfish,Rockfish that live on the continental shelf
SIA,Social impact analysis,
S-K,Saltonstall-Kennedy Act,"The Saltonstall-Kennedy Act allocates 30% of the duties for imported fishery products to technological, biological, marketing, and other research and services in order to promote the free flow of domestically-produced fishery products and to develop markets for domestic fishery products."
,Slope rockfish,Rockfish that live on the continental slope
SONCC,Southern Oregon Northern California coastal coho (an evolutionarily significant unit),
SONCCWG,Ad Hoc Southern Oregon Northern California Coast Coho Workgroup,
SOPP,"Statement of Organization, Practices, and Procedures",
,Southern California Bight,"The region of concave coastline off Southern California between the headland at Point Conception and the U.S./Mexican border, and encompassing various islands, shallow banks, basins, and troughs extending from the coast roughly 200 km offshore."
,Spawning biomass,"The biomass of mature female fish at the beginning of the year. If the production of eggs is not proportional to body weight, then this definition is construed to be proportional to expected egg production."
SPR,Spawning biomass per recruit,
SPR,Spawning potential ratio,"The ratio of spawning potential per recruit under a given fishing regime, relative to the spawning potential per recruit with no fishing."
SRFC,Sacramento River fall Chinook,
SRI,Sacramento River index,
SRKWWG,Ad Hoc Southern Resident Killer Whale Workgroup,
SSB,Spawning stock biomass,
SSC,Scientific and Statistical Committee,"An advisory committee of the PFMC made up of scientists and economists. The Magnuson-Stevens Act requires that each council maintain an SSC to assist in gathering and analyzing statistical, biological, ecological, economic, social, and other scientific information that is relevant to the management of Council fisheries."
SST,Sea surface temperature,
STAR,Stock assessment review,
STAR Panel,Stock Assessment Review Panel,"A panel set up to review stock assessments for particular fisheries. In the past there have been STAR panels for sablefish, rockfish, squid, and other species."
,,
STT,Salmon Technical Team,
SWFSC,Southwest Fisheries Science Center (NMFS),
SWR,Southwest Region,
TAC,Total allowable catch,"The total regulated catch from a stock in a given time period, usually a year. (NMFS)"
,Territorial sea,The territorial sea of the United States extends 12 nautical miles offshore. States exercise authority over marine fisheries in waters from the coastline to 3 miles offshore.
TMAX,,"The maximum time period to rebuild an overfished stock, according to National Standard Guidelines. Depends on biological, environmental, and legal/policy factors."
TMIN,,"The minimum time period to rebuild an overfished stock, according to National Standard Guidelines. Technically, this is the minimum amount of time in which a fish stock will have a 50% chance of rebuilding if no fishing occurs (depends on biological and environmental factors)."
TNC,The Nature Conservancy,
,,
Total catch OY,Total catch optimum yield,The landed catch plus discard mortality.
TTARGET,,"The target year, set by policy, for a fish stock to be completely rebuilt."
U/A,Usual and accustomed,"Usually used when referring to tribal fishing, hunting or gathering areas."
USCG,U.S. Coast Guard,A representative of the USCG is a non-voting member of the Council.
USFS,U.S. Forest Service,
USFWS,U.S. Fish and Wildlife Service,A representative of USFWS is a non-voting member of the Council.
USGS,U.S. Geological Survey,
,,
VMS,Vessel Monitoring System,"A satellite communications system used to monitor fishing activities. For example, to ensure that vessels stay out of prohibited areas. The system is based on electronic devices (transceivers), which are installed on board vessels. These devices automatically send data to shore-based ""satellite"" monitoring system."
WA,Washington,
WCP,West Coast Pelagic Conservation Group,
WCPFC,Western and Central Pacific Fisheries Commission,
WCSPA,West Coast Seafood Processors Association,
WCVI,West Coast Vancouver Island,
WDFW,Washington Department of Fish and Wildlife,A representative of WDFW sits on the Council.
WFOA,Western Fishboat Owners Association,
WPFMC,Western Pacific Fishery Management Council,
,Yield per recruit,"A model that estimates yield in terms of weight, but more often as a percentage of the maximum sustainable yield, for various combinations of natural mortality, fishing mortality and time exposed to the fishery (NOAA)."
