"","source","Acronym","Meaning","Definition","meaning_lower","n","duplicated_ac","duplicated_mean"
"221","PFMC","EFH","essential fish habitat","Those waters and substrate necessary to fish for spawning, breeding, feeding or growth to maturity.","essential fish habitat",NA,NA,NA
"222",NA,"EFH-HAPC","Essential Fish Habitat- Habitat Area of Particular Concern",NA,"essential fish habitat- habitat area of particular concern",NA,NA,NA
"223",NA,"EFHCA","Essential fish habitat conservation area",NA,"essential fish habitat conservation area",NA,NA,NA
"224",NA,"EFHRC","Essential Fish Habitat Review Committee",NA,"essential fish habitat review committee",NA,NA,NA
"225","PFMC","EFIN","Economic Fishery Information Network","Administered by the Pacific States Marine Fisheries Commission.","economic fishery information network",NA,NA,NA
"226",NA,"EFMP","Ecosystem Fishery Management Plan",NA,"ecosystem fishery management plan",NA,NA,NA
"227","PFMC","EFP","exempted fishing permit","A permit issued by National Marine Fisheries Service that allows exemptions from some regulations in order to study the effectiveness, bycatch rate, or other aspects of an experimental fishing gear. Previously known as an ""experimental fishing permit.""","exempted fishing permit",NA,NA,NA
"228",NA,"EIR","Environmental impact review",NA,"environmental impact review",NA,NA,NA
"229","PFMC","EIS","Environmental impact statement","As part of the National Environmental Policy Act (NEPA) process, an EIS is an analysis of the expected impacts resulting from the implementation of a fisheries management or development plan (or some other proposed action) on the environment. EISs are required for all fishery management plans as well as significant amendments to existing plans. The purpose of an EIS is to ensure the fishery management plan gives appropriate consideration to environmental values in order to prevent harm to the environment.","environmental impact statement",NA,NA,NA
"230",NA,"EJ","environmental justice",NA,"environmental justice",NA,NA,NA
"231",NA,"ELAPS","Effort Limit Area for Purse Seine",NA,"effort limit area for purse seine",NA,NA,NA
"232",NA,"ELB","electronic logbook",NA,"electronic logbook",NA,NA,NA
"233",NA,"ELMR","Estuarine Living Marine Resources",NA,"estuarine living marine resources",NA,NA,NA
"234",NA,"EM","Electronic monitoring",NA,"electronic monitoring",NA,NA,NA
"235",NA,"EMC","Electronic Monitoring Committee",NA,"electronic monitoring committee",NA,NA,NA
"236","PFMC","ENSO","El Niño Southern Oscillation","Abnormally warm ocean climate conditions, which in some years affect the eastern coast of Latin America (centered on Peru) often around Christmas time. The anomaly is accompanied by dramatic changes in species abundance and distribution, higher local rainfall and flooding, and massive deaths of fish and their predators. Many other climactic anomalies around the world are attributed to consequences of El Ni�o.","el niño southern oscillation",NA,NA,NA
"237",NA,"EO","Executive Order",NA,"executive order",NA,NA,NA
"238",NA,"EPA","Environmental Protection Agency",NA,"environmental protection agency",NA,NA,NA
"239",NA,"EPDT","Ecosystem Plan Development Team",NA,"ecosystem plan development team",NA,NA,NA
"240",NA,"EPO","Eastern Pacific Ocean",NA,"eastern pacific ocean",NA,NA,NA
"241","ASMFC","EPR","Eggs per recruit","The expected egg production from a female in her lifetime, usually expressed as a percentage of the egg production that would otherwise occur in an unfished stock.","eggs per recruit",NA,NA,NA
"242",NA,"ER","ecological reserve",NA,"ecological reserve",NA,NA,NA
"243","PFMC","ESA","Endangered Species Act","An act of Federal law that provides for the conservation of endangered and threatened species of fish, wildlife, and plants. When preparing fishery management plans, councils are required to consult with the National Marine Fisheries Service and the U.S. Fish and Wildlife Service to determine whether the fishing under a fishery management plan is likely to jeopardize the continued existence of an ESA-listed species or to result in harm to its critical habitat.","endangered species act",2,"Y","Y"
"244","WPFMC","ESA","Endangered Species Act","An Act of Congress passed in 1966 that establishes a federal program to protect species of animals whose survival is threatened by habitat destruction, overutilization, disease, etc.","endangered species act",2,"Y","Y"
"245",NA,"ESD","Equivalent Spherical Diameter",NA,"equivalent spherical diameter",NA,NA,NA
"246",NA,"ESP","Ecological and Socioeconomic Profile",NA,"ecological and socioeconomic profile",NA,NA,NA
"247",NA,"ESRL","Earth System Research Laboratory, NOAA",NA,"earth system research laboratory, noaa",NA,NA,NA
"248","PFMC","ESU","evolutionarily significant unit","An Evolutionarily Significant Unit or ""ESU"" is a distinctive group of Pacific salmon, steelhead, or sea-run cutthroat trout that is uniquely adapted to a particular area or environment and cannot be replaced.","evolutionarily significant unit",NA,NA,NA
"249",NA,"EWG","Ecosystem Workgroup",NA,"ecosystem workgroup",NA,NA,NA
"250","ASMFC","F","Fishing mortality","The instantaneous rate at which fish in a stock die because of fishing. Typically includes measured bycatch, if data are available.","fishing mortality",3,"Y",NA
"251","PFMC","F",NA,"The instantaneous rate of fishing mortality. The term ""fishing mortality rate"" is a technical fishery science term that is often misunderstood. It refers to the rate at which animals are removed from the stock by fishing. The fishing mortality rate can be confusing because it is an ""instantaneous"" rate that is useful in mathematical calculations, but is not easily translated into the more easily understood concept of ""percent annual removal.""",NA,3,"Y",NA
"252",NA,"F","Instantaneous Fishing Mortality Rate",NA,"instantaneous fishing mortality rate",3,"Y",NA
"253","GMFMC","F MAX","F MAX","fishing mortality rate corresponding to maximum yield-per-recruit","f max",NA,NA,NA
"254",NA,"F-30% SPR","Fishing mortality at spawning potential ratio (SPR) = 30%",NA,"fishing mortality at spawning potential ratio (spr) = 30%",NA,NA,NA
"255",NA,"F-CURR","Current instantaneous rate of fishing mortality",NA,"current instantaneous rate of fishing mortality",NA,NA,NA
"256",NA,"F-MSY","The rate of fishing mortality expected to achieve MSY under equilibrium",NA,"the rate of fishing mortality expected to achieve msy under equilibrium",NA,NA,NA
"257",NA,"F-OY","The rate of fishing mortality expected to achieve MSY under an equilibrium",NA,"the rate of fishing mortality expected to achieve msy under an equilibrium",NA,NA,NA
"258",NA,"F/V","Fishing vessel",NA,"fishing vessel",NA,NA,NA
"259",NA,"F30% SPR","fishing mortality corresponding to 30% spawning potential ratio",NA,"fishing mortality corresponding to 30% spawning potential ratio",NA,NA,NA
"260","PFMC","F=0",NA,"No fishing.",NA,NA,NA,NA
"261",NA,"FAC","Fisheries Advisory Committee",NA,"fisheries advisory committee",2,"Y",NA
"262",NA,"FAC","Florida Administrative Code",NA,"florida administrative code",2,"Y",NA
"263","PFMC","FAD","Fish aggregating device","Artificial or natural floating objects placed on the ocean surface, often anchored to the bottom, to attract several schooling fish species underneath, thus increasing their catchability.","fish aggregating device",2,"Y","Y"
"264","WPFMC","FAD","Fish Aggregating Device","A raft or buoy, drifting or anchored to the sea floor, and under which, pelagic fish will concentrate","fish aggregating device",2,"Y","Y"
"265",NA,"FAO","Food & Agriculture Organization of the United Nations",NA,"food & agriculture organization of the united nations",NA,NA,NA
"266",NA,"FATE","Fisheries and the Environment",NA,"fisheries and the environment",NA,NA,NA
"267",NA,"FCURR","Current Fishing Mortality Rate",NA,"current fishing mortality rate",NA,NA,NA
"268",NA,"FDA","Food and Drug Administration",NA,"food and drug administration",NA,NA,NA
"269",NA,"FDM","Farallon de Medinilla, CNMI",NA,"farallon de medinilla, cnmi",NA,NA,NA
"270",NA,"FEIS","Final Environmental Impact Statement",NA,"final environmental impact statement",NA,NA,NA
"271",NA,"FEP","Fishery Ecosystem Plan",NA,"fishery ecosystem plan",NA,NA,NA
"272","PFMC","FERC","Federal Energy Regulatory Commission","Regulates hydropower operations and offshore wave energy.","federal energy regulatory commission",NA,NA,NA
"273","SAFMC","FES","Fishing Effort Survey","Recreational fishing statistics","fishing effort survey",NA,NA,NA
"274","ASMFC","FGTWG","Fishing Gear Technology Work Group","An ASMFC committee focusing on fishing gear technology and bycatch reduction.","fishing gear technology work group",NA,NA,NA
"275",NA,"FHS","for-hire-survey",NA,"for-hire-survey",NA,NA,NA
"276",NA,"FIN","Fisheries Information Network",NA,"fisheries information network",NA,NA,NA
"277",NA,"FIS","Fishery Impact Statement",NA,"fishery impact statement",NA,NA,NA
"278",NA,"FKNMS","Florida Keys National Marine Sanctuary",NA,"florida keys national marine sanctuary",NA,NA,NA
"279","PFMC","FL","Fork length","A measurement used frequently for fish length when the tail has a fork shape. Projected straight distance between the tip of the fish and the fork of the tail.","fork length",NA,NA,NA
"280",NA,"FLEC","Florida East Coast",NA,"florida east coast",NA,NA,NA
"281",NA,"FLL","Freezer longliner",NA,"freezer longliner",NA,NA,NA
"282",NA,"FMA","AFSC Fisheries Monitoring and Analysis Division (aka the Observer Program)",NA,"afsc fisheries monitoring and analysis division (aka the observer program)",NA,NA,NA
"283",NA,"FMAC","Fishery Monitoring Advisory Committee",NA,"fishery monitoring advisory committee",NA,NA,NA
"284","PFMC","FMC","Fishery management council","A fisheries management body established by the Magnuson-Stevens Act to manage fishery resources in designated regions of the United States. Membership varies in size depending on the number of states involved. There are eight regional Councils, including the Pacific Council.","fishery management council",NA,NA,NA
"285","ASMFC","FMP","Fishery Management Plan","A plan to achieve specified management goals for a fishery, typically including data, analysis, and management measures. ASMFC, Regional Management Councils, and NMFS have the authority to develop FMPs for Atlantic coast fish stocks.","fishery management plan",2,"Y","Y"
"286","PFMC","FMP","Fishery management plan","A plan, and its amendments, that contains measures for conserving and managing specific fisheries and fish stocks.","fishery management plan",2,"Y","Y"
"287","GMFMC","FMSY","FMSY","fishing mortality rate corresponding to an equilibrium yield at maximum sustainable yield","fmsy",3,"Y",NA
"288","PFMC","FMSY",NA,"The fishing mortality rate that maximizes catch biomass in the long term.",NA,3,"Y",NA
"289",NA,"FMSY","Fishing Mortality at MSY",NA,"fishing mortality at msy",3,"Y",NA
"290",NA,"FMU","Fishery Management Unit",NA,"fishery management unit",NA,NA,NA
"291",NA,"FOIA","Freedom of Information Act",NA,"freedom of information act",NA,NA,NA
"292","PFMC","FONSI","Finding of no significant impact","As part of the National Environmental Policy Act (NEPA) process, a finding of no significant impact (FONSI) is a document that explains why an action that is not otherwise excluded from the NEPA process, and for which an environmental impact statement (EIS) will not be prepared, will not have a significant effect on the human environment.","finding of no significant impact",NA,NA,NA
"293","GMFMC","FOY","FOY","fishing mortality rate corresponding to an equilibrium yield at optimum","foy",2,"Y",NA
"294",NA,"FOY","Fishing Mortality Rate Yielding OY",NA,"fishing mortality rate yielding oy",2,"Y",NA
"295",NA,"FPR","Fishery performance reports",NA,"fishery performance reports",NA,NA,NA
"296","PFMC","FR","Federal Register","The Federal Register is the official daily publication for Rules, Proposed Rules, and Notices of Federal agencies and organizations, as well as Executive Orders and other Presidential documents. Fisheries regulations are not considered final until they are published in the Federal Register.","federal register",2,"Y",NA
"297",NA,"FR","Federal Regulations",NA,"federal regulations",2,"Y",NA
"298","PFMC","FRAM","Fishery Regulation Assessment Model","Typically used for salmon.","fishery regulation assessment model",NA,NA,NA
"299",NA,"FRFA","Final Regulatory Flexibility Analysis",NA,"final regulatory flexibility analysis",NA,NA,NA
"300",NA,"FTE","Full time employee",NA,"full time employee",NA,NA,NA
"301",NA,"FWC","Florida Fish and Wildlife Conservation Commission",NA,"florida fish and wildlife conservation commission",NA,NA,NA
"302","GMFMC","FWRI","Fish and Wildlife Research Institute","Integrates research activities with management efforts of other FWC divisions to provide information to protect, conserve and manage Florida's fish and wildlife resources","fish and wildlife research institute",NA,NA,NA
"303","GMFMC","FWS","United States Fish and Wildlife Service","United States Fish and Wildlife Service","united states fish and wildlife service",NA,NA,NA
"304","PFMC","FX%",NA,"The rate of fishing mortality that will reduce female spawning biomass per recruit to x percent of its unfished level. F100% is zero, and F35% is a reasonable proxy for FMSY. (All figures after ""F"" should be subscript.)",NA,NA,NA,NA
"305","PFMC","Fm","Fathom","Six feet.","fathom",NA,NA,NA
"306",NA,"GAC","Global Area Coverage",NA,"global area coverage",NA,NA,NA
"307",NA,"GAM","General Additive Models",NA,"general additive models",NA,NA,NA
"308",NA,"GAO","General Accounting Office",NA,"general accounting office",NA,NA,NA
"309","PFMC","GAP","Groundfish Advisory Subpanel","The Council established the GAP to obtain the input of the people most affected by, or interested in, the management of the groundfish fishery. This advisory body is made up of representatives with recreational, trawl, fixed gear, open access, tribal, environmental, and processor interests. Their advice is solicited when preparing fishery management plans, reviewing plans before sending them to the Secretary, reviewing the effectiveness of plans once they are in operation, and developing annual and inseason management.","groundfish advisory subpanel",NA,NA,NA
"310",NA,"GARFO","Greater Atlantic Regional Fisheries Office",NA,"greater atlantic regional fisheries office",NA,NA,NA
"311","ASMFC","GARM","Groundfish Assessment Review Committee","The federal stock assessment review committee that evaluates groundfish assessements, such as winter flounder.","groundfish assessment review committee",NA,NA,NA
"312",NA,"GB","Georges Bank",NA,"georges bank",NA,NA,NA
"313","ASMFC","GBK","Georges Bank","A region used to describe a population segment of the American lobster resource.","georges bank",NA,NA,NA
"314",NA,"GDP","Gross Domestic Product",NA,"gross domestic product",NA,NA,NA
"315",NA,"GEMPAC","Ad Hoc Groundfish Electronic Monitoring Policy Advisory Committee",NA,"ad hoc groundfish electronic monitoring policy advisory committee",NA,NA,NA
"316",NA,"GEMTAC","Ad hoc Groundfish Electronic Monitoring Technical Advisory Committee",NA,"ad hoc groundfish electronic monitoring technical advisory committee",NA,NA,NA
"317",NA,"GESW","Groundfish Endangered Species Workgroup",NA,"groundfish endangered species workgroup",NA,NA,NA
"318",NA,"GF","Groundfish",NA,"groundfish",NA,NA,NA
"319",NA,"GFCA","Guam Fishermen's Cooperative Association",NA,"guam fishermen's cooperative association",NA,NA,NA
"320",NA,"GFNMS","Gulf of the Farallones National Marine Sanctuary",NA,"gulf of the farallones national marine sanctuary",NA,NA,NA
"321",NA,"GHL","Guideline Harvest Level",NA,"guideline harvest level",NA,NA,NA
"322",NA,"GIS","Geographic Information System",NA,"geographic information system",NA,NA,NA
"323",NA,"GKC","Golden King Crab",NA,"golden king crab",NA,NA,NA
"324","ASMFC","GLFC","Great Lakes Fishery Commission","Established in 1955 by the Canadian/U.S. Convention on Great Lakes Fisheries, the Commission coordinates fisheries research, controls the invasive sea lamprey, and facilitates cooperative fishery management among the state, provincial, tribal, and federal management agencies.","great lakes fishery commission",NA,NA,NA
"325",NA,"GM","Genetically Modified",NA,"genetically modified",NA,NA,NA
"326",NA,"GMFMC","Gulf of Mexico Fishery Management Council",NA,"gulf of mexico fishery management council",NA,NA,NA
"327","PFMC","GMT","Groundfish Management Team","Groundfish management plans and annual and inseason management recommendations are prepared by the Council's GMT, which consists of scientists and managers with specific technical knowledge of the groundfish fishery.","groundfish management team",NA,NA,NA
"328",NA,"GNI","Gross National Income",NA,"gross national income",NA,NA,NA
"329",NA,"GNP","Gross National Product",NA,"gross national product",NA,NA,NA
"330",NA,"GOA","Gulf of Alaska",NA,"gulf of alaska",NA,NA,NA
"331",NA,"GODAS","Global Ocean Data Assimilation System",NA,"global ocean data assimilation system",NA,NA,NA
"332",NA,"GOES","Geostationary Operational Environmental Satellites",NA,"geostationary operational environmental satellites",NA,NA,NA
"333","ASMFC","GOM","Gulf of Maine","Used to describe population segments for both American lobster and winter flounder.","gulf of maine",NA,NA,NA
"334",NA,"GPS","global positioning system",NA,"global positioning system",NA,NA,NA
"335","GMFMC","GRFS","Gulf Reef Fish Survey","Florida's supplemental state survey for certain species of reef fish from 2015 to June of 2020. Replaced by SRFS","gulf reef fish survey",NA,NA,NA
"336",NA,"GRSC","Great Red Snapper Count",NA,"great red snapper count",NA,NA,NA
"337",NA,"GRT","Gross Registered Tonnes",NA,"gross registered tonnes",NA,NA,NA
"338",NA,"GSMFC","Gulf States Marine Fisheries Commission",NA,"gulf states marine fisheries commission",NA,NA,NA
"339",NA,"Gulf","Gulf of Mexico",NA,"gulf of mexico",NA,NA,NA
"340",NA,"Gulf Council","Gulf of Mexico Fishery Management Council",NA,"gulf of mexico fishery management council",NA,NA,NA
"341",NA,"GulfFIN","Gulf of Mexico Fisheries Information Network",NA,"gulf of mexico fisheries information network",NA,NA,NA
"342",NA,"HACCP","Hazard Analysis and Critical Control Points",NA,"hazard analysis and critical control points",NA,NA,NA
"343","PFMC","HAPC","Habitat areas of particular concern","Subsets of essential fish habitat (see EFH) containing particularly sensitive or vulnerable habitats that serve an important ecological function, are particularly sensitive to human-induced environmental degradation, are particularly stressed by human development activities, or comprise a rare habitat type.","habitat areas of particular concern",NA,NA,NA
"344",NA,"HBS","Headboat Survey",NA,"headboat survey",NA,NA,NA
"345","ASMFC","HC","Habitat Committee","An ASMFC committee that provides advice on issues related to habitat, habitat management, habitat requirements by the managed species, enforceability of proposed habitat management measures.","habitat committee",NA,NA,NA
"346",NA,"HCR","Harvest control rule",NA,"harvest control rule",NA,NA,NA
"347",NA,"HDAR","Hawaii Division of Aquatic Resources",NA,"hawaii division of aquatic resources",NA,NA,NA
"348","PFMC","HG","Harvest guideline(s)","A numerical harvest level that is a general objective, but not a quota. Attainment of a harvest guideline does not require a management response, but it does prompt review of the fishery.","harvest guideline(s)",NA,NA,NA
"349",NA,"HLF","Hawaii Longline Fishery",NA,"hawaii longline fishery",NA,NA,NA
"350",NA,"HMRFS","Hawaii Marine Recreational Fishing Survey",NA,"hawaii marine recreational fishing survey",NA,NA,NA
"351","PFMC","HMS","Highly migratory species","In the Council context, highly migratory species in the Pacific Ocean include species managed under the HMS Fishery Management Plan: tunas, sharks, billfish/swordfish, and dorado or dolphinfish.","highly migratory species",NA,NA,NA
"352","PFMC","HMS FMP","Highly Migratory Species Fishery Management Plan","This is the fishery management plan (and its subsequent revisions) for the Washington, Oregon, and California Highly Migratory Species Fisheries developed by the PFMC and approved by the Secretary of Commerce.","highly migratory species fishery management plan",NA,NA,NA
"353",NA,"HMSAS","Highly Migratory Species Advisory Subpanel",NA,"highly migratory species advisory subpanel",NA,NA,NA
"354",NA,"HMSMT","Highly Migratory Species Management Team",NA,"highly migratory species management team",NA,NA,NA
"355",NA,"HMSPDT","Highly Migratory Species Plan Development Team",NA,"highly migratory species plan development team",NA,NA,NA
"356",NA,"HOT","Hawaii Ocean Time Series",NA,"hawaii ocean time series",NA,NA,NA
"357",NA,"HP","Horsepower",NA,"horsepower",NA,NA,NA
"358",NA,"HSTT","Hawaii-Southern California Training and Testing",NA,"hawaii-southern california training and testing",NA,NA,NA
"359",NA,"IA","interim analysis",NA,"interim analysis",NA,NA,NA
"360",NA,"IATTC","Inter-American Tropical Tuna Commission",NA,"inter-american tropical tuna commission",NA,NA,NA
"361",NA,"IBA","Individual Bycatch Accounting",NA,"individual bycatch accounting",NA,NA,NA
"362","PFMC","IBQ","Individual bycatch quota","IBQs are used to control the catch of prohibited species.","individual bycatch quota",NA,NA,NA
"363",NA,"ICA","Inter-cooperative Agreements",NA,"inter-cooperative agreements",NA,NA,NA
"364",NA,"ICC","Intergovernmental Consultive Committee",NA,"intergovernmental consultive committee",NA,NA,NA
"365",NA,"ID","Identification",NA,"identification",2,"Y",NA
"366",NA,"ID","Stock identification process",NA,"stock identification process",2,"Y",NA
"367",NA,"IDFG","Idaho Department of Fish and Game",NA,"idaho department of fish and game",NA,NA,NA
"368",NA,"IEA","Integrated Ecosystem Assessment",NA,"integrated ecosystem assessment",NA,NA,NA
"369","ASMFC","IFA","Interjurisdictional Fisheries Act","Federal legislation that provides funding to the three Interstate Fisheries Commissions to support management of interjurisdictional fishery resources.","interjurisdictional fisheries act",NA,NA,NA
"370",NA,"IFP","International Fisheries Program",NA,"international fisheries program",NA,NA,NA
"371",NA,"IFQ","individual fishing quota",NA,"individual fishing quota",NA,NA,NA
"372",NA,"INPFC","International North Pacific Fishery Commission",NA,"international north pacific fishery commission",NA,NA,NA
"373",NA,"IOOS","Integrated Ocean Observing System",NA,"integrated ocean observing system",NA,NA,NA
"374",NA,"IPA","Incentive Plan (Program) Agreements",NA,"incentive plan (program) agreements",NA,NA,NA
"375",NA,"IPCC","International Panel on Climate Change",NA,"international panel on climate change",NA,NA,NA
"376","PFMC","IPHC","International Pacific Halibut Commission","A Commission responsible for studying Pacific halibut stocks and the halibut fishery. The IPHC makes proposals to the U.S. and Canada concerning the regulation of the halibut fishery.","international pacific halibut commission",NA,NA,NA
"377",NA,"IPQ","Individual Processor Quotas",NA,"individual processor quotas",NA,NA,NA
"378",NA,"IPT","Interdisciplinary Plan Team",NA,"interdisciplinary plan team",NA,NA,NA
"379",NA,"IQ","Individual quota",NA,"individual quota",NA,NA,NA
"380",NA,"IQF","Individually quick frozen",NA,"individually quick frozen",NA,NA,NA
"381",NA,"IRFA","Initial Regulatory Flexibility Analysis",NA,"initial regulatory flexibility analysis",NA,NA,NA
"382",NA,"IRIU","Improved retention/improved utilization",NA,"improved retention/improved utilization",NA,NA,NA
"383",NA,"ISC","International Scientific Committee",NA,"international scientific committee",2,"Y",NA
"384",NA,"ISC","International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean",NA,"international scientific committee for tuna and tuna-like species in the north pacific ocean",2,"Y",NA
"385","ASMFC","ISFMP","Interstate Fisheries Management Program","An ASMFC program dedicated to the development and maintenance of interstate fisheries management plans for 22 species groups.","interstate fisheries management program",NA,NA,NA
"386","ASMFC","ISTC","Interstate Shellfish Transport Committee","An ASMFC committee, composed of shellfish technical representatives from each of the 15 states, District of Columbia, Potomac River Fisheries Commission, National Marine Fisheries Service, and U.S. Fish and Wildlife Service, that is tasked with evaluating issues related to the introduction of non-native shellfish to support new commercial fisheries in Atlantic coastal waters.","interstate shellfish transport committee",NA,NA,NA
"387","ASMFC","ITC","Interstate Tagging Committee","An ASMFC committee that focuses on improving the quality and utility of data collected by scientific and angler- based tagging programs.","interstate tagging committee",NA,NA,NA
"388",NA,"ITCZ","Inter-Tropical Convergence Zone",NA,"inter-tropical convergence zone",NA,NA,NA
"389","PFMC","ITQ","Individual transferable (or tradeable) quota","A type of quota (a part of a total allowable catch) allocated to individual fishermen or vessel owners and which can be transferred (sold, leased) to others.","individual transferable (or tradeable) quota",2,"Y",NA
"390",NA,"ITQ","Individual transferable quota",NA,"individual transferable quota",2,"Y",NA
"391",NA,"ITS","incidental take statement",NA,"incidental take statement",NA,NA,NA
"392",NA,"IUCN","International Union for the Conservation of Nature",NA,"international union for the conservation of nature",NA,NA,NA
"393",NA,"IUU","Illegal, unregulated, and unreported",NA,"illegal, unregulated, and unreported",NA,NA,NA
"394",NA,"Int","International landings",NA,"international landings",NA,NA,NA
"395","ASMFC","JAI","Juvenile abundance index","A measure of the relative abundance of juveniles in a stock that may serve as an indication of reproductive success. For some species, the JAI may predict future adult abundance.","juvenile abundance index",NA,NA,NA
"396",NA,"JAM","Jeopardy or adverse modification",NA,"jeopardy or adverse modification",NA,NA,NA
"397",NA,"K","time constant",NA,"time constant",NA,NA,NA
"398",NA,"K-A","Korean-American",NA,"korean-american",NA,NA,NA
"399",NA,"KBRA","Klamath Basin Restoration Agreement",NA,"klamath basin restoration agreement",NA,NA,NA
"400","PFMC","KMZ","Klamath management zone","Ocean zone between Humbug Mountain and Horse Mountain where management emphasis is on Klamath River fall Chinook.","klamath management zone",NA,NA,NA
"401",NA,"KRFC","Klamath River fall Chinook",NA,"klamath river fall chinook",NA,NA,NA
"402",NA,"L MAX","maximum length",NA,"maximum length",NA,NA,NA
"403",NA,"LAA","Likely to adversely affect",NA,"likely to adversely affect",NA,NA,NA
"404",NA,"LAMP","Local Area Management Plan",NA,"local area management plan",NA,NA,NA
"405",NA,"LAPP","limited access privilege program",NA,"limited access privilege program",NA,NA,NA
"406",NA,"LC","Legislative Committee",NA,"legislative committee",NA,NA,NA
"407",NA,"LCN","Lingcod - North",NA,"lingcod - north",2,"Y",NA
"408",NA,"LCN","Lower Columbia natural",NA,"lower columbia natural",2,"Y",NA
"409",NA,"LCR","Lower Columbia River",NA,"lower columbia river",NA,NA,NA
"410",NA,"LCS","Lingcod - South",NA,"lingcod - south",NA,NA,NA
"411","GMFMC","LDWF","Louisiana Department of Wildlife and Fisheries","Louisiana's state agency for freshwater and saltwater resources","louisiana department of wildlife and fisheries",NA,NA,NA
"412","PFMC","LE","Limited entry fishery","A fishery for which a fixed number of permits have been issued in order to limit participation.","limited entry fishery",NA,NA,NA
"413",NA,"LEAP","Law Enforcement Advisory Panel",NA,"law enforcement advisory panel",NA,NA,NA
"414","ASMFC","LEC","Law Enforcement Committee","An ASMFC committee which provides advice on issues related to law enforcement and enforceability of potential management measures, comprised of representatives of each member state, Washington, D.C., National Marine Fisheries Service, U.S. Fish and Wildlife Service, and the U.S. Coast Guard.","law enforcement committee",NA,NA,NA
"415",NA,"LEI","Long-term effect index",NA,"long-term effect index",NA,NA,NA
"416",NA,"LK","Local Knowledge",NA,"local knowledge",NA,NA,NA
"417",NA,"LLP","License limitation program",NA,"license limitation program",NA,NA,NA
"418",NA,"LNG","Liquified natural gas",NA,"liquified natural gas",NA,NA,NA
"419",NA,"LOA","Length overall",NA,"length overall",NA,NA,NA
"420",NA,"LOC","Letter of Concurrence",NA,"letter of concurrence",NA,NA,NA
"421",NA,"LOF","List of Fisheries",NA,"list of fisheries",NA,NA,NA
"422","GMFMC","LPS","Large Pelagics Survey","a specialized survey conducted from Maine to Virginia that collects catch and effort data for tuna, sharks, billfishes, swordfish and other offshore recreational species","large pelagics survey",NA,NA,NA
"423","GMFMC","LRP","limit reference point","a type of biological reference point; point at which status of fishery will decline or collapse","limit reference point",NA,NA,NA
"424",NA,"LVPA","Large Vessel Protected Area",NA,"large vessel protected area",NA,NA,NA
"425","ASMFC","M","Natural Mortality","The instantaneous rate at which fish die from all causes other than harvest. Typically includes unmeasured bycatch. M is very difficult to measure.","natural mortality",3,"Y",NA
"426",NA,"M","instantaneous natural mortality rate",NA,"instantaneous natural mortality rate",3,"Y",NA
"427",NA,"M","Natural mortality rate",NA,"natural mortality rate",3,"Y",NA
"428",NA,"M&SI","Mortality and Serious Injury",NA,"mortality and serious injury",NA,NA,NA
"429",NA,"MA","Massachusetts",NA,"massachusetts",2,"Y",NA
"430",NA,"MA","Massachusetts Division of Marine Fisheries",NA,"massachusetts division of marine fisheries",2,"Y",NA
"431",NA,"MAB","Mid-Atlantic Bight",NA,"mid-atlantic bight",NA,NA,NA
"432","ASMFC","MAFMC","Mid-Atlantic Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore).","mid-atlantic fishery management council",NA,NA,NA
"433",NA,"MARMAP","Marine Resources Monitoring Assessment and Prediction Program",NA,"marine resources monitoring assessment and prediction program",NA,NA,NA
"434",NA,"MBNMS","Monterey Bay National Marine Sanctuary",NA,"monterey bay national marine sanctuary",NA,NA,NA
"435",NA,"MBTA","Migratory Bird Treaty Act",NA,"migratory bird treaty act",NA,NA,NA
"436",NA,"MC","Monitoring Committee",NA,"monitoring committee",NA,NA,NA
"437",NA,"MCA","Maximum Commerce Amount",NA,"maximum commerce amount",NA,NA,NA
"438",NA,"MCD","Marine Conservation District",NA,"marine conservation district",NA,NA,NA
"439",NA,"MD","Maryland",NA,"maryland",NA,NA,NA
"440","GMFMC","MDMR","Mississippi Department of Marine Resources","state of Mississippi's marine resources agency","mississippi department of marine resources",NA,NA,NA
"441",NA,"ME","DMR Maine Department of Marine Resources",NA,"dmr maine department of marine resources",3,"Y",NA
"442",NA,"ME","Maine",NA,"maine",3,"Y",NA
"443",NA,"ME","McCracken Estimates",NA,"mccracken estimates",3,"Y",NA
"444",NA,"MEI","Multivariate ENSO Index",NA,"multivariate enso index",NA,NA,NA
"445",NA,"MEW","Model Evaluation Workgroup (for salmon)",NA,"model evaluation workgroup (for salmon)",NA,NA,NA
"446",NA,"MEY","maximum economic yield",NA,"maximum economic yield",NA,NA,NA
"447","PFMC","MFCMA","Magnuson Fishery Conservation and Management Act","The Fishery Conservation and Management Act was renamed the ""Magnuson Fishery Conservation and Management Act"" in 1980. The MFCMA established the 200-mile fishery conservation zone and the regional fishery management council system.","magnuson fishery conservation and management act",NA,NA,NA
"448","PFMC","MFMT","Maximum fishing mortality threshold","A limit identified in the National Standard Guidelines. A fishing mortality rate above this threshold constitutes overfishing.","maximum fishing mortality threshold",NA,NA,NA
"449",NA,"MHHW","Mean higher high water level (high tide line)",NA,"mean higher high water level (high tide line)",NA,NA,NA
"450",NA,"MHI","Main Hawaiian Islands",NA,"main hawaiian islands",NA,NA,NA
