"","Acronym","Meaning","Definition"
"376","LDWF","Louisiana Department of Wildlife and Fisheries","Louisiana's state agency for freshwater and saltwater resources"
"377","LE","Limited entry fishery","A fishery for which a fixed number of permits have been issued in order to limit participation."
"378","LEAP","Law Enforcement Advisory Panel",NA
"379","LEC","Law Enforcement Committee","An ASMFC committee which provides advice on issues related to law enforcement and enforceability of potential management measures, comprised of representatives of each member state, Washington, D.C., National Marine Fisheries Service, U.S. Fish and Wildlife Service, and the U.S. Coast Guard."
"380","LEI","Long-term effect index",NA
"381","LK","Local Knowledge",NA
"382","LLP","License limitation program",NA
"383","LNG","Liquified natural gas",NA
"384","LOA","Length overall",NA
"385","LOC","Letter of Concurrence",NA
"386","LOF","List of Fisheries",NA
"387","LPS","Large Pelagics Survey","a specialized survey conducted from Maine to Virginia that collects catch and effort data for tuna, sharks, billfishes, swordfish and other offshore recreational species"
"388","LRP","limit reference point","a type of biological reference point; point at which status of fishery will decline or collapse"
"389","LVPA","Large Vessel Protected Area",NA
"390","M","Natural Mortality","The instantaneous rate at which fish die from all causes other than harvest. Typically includes unmeasured bycatch. M is very difficult to measure."
"391","M","instantaneous natural mortality rate",NA
"392","M","Natural mortality rate",NA
"393","M&SI","Mortality and Serious Injury",NA
"394","MA","Massachusetts",NA
"395","MA","Massachusetts Division of Marine Fisheries",NA
"396","MAB","Mid-Atlantic Bight",NA
"397","MAFMC","Mid-Atlantic Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore)."
"398","MARMAP","Marine Resources Monitoring Assessment and Prediction Program",NA
"399","MBNMS","Monterey Bay National Marine Sanctuary",NA
"400","MBTA","Migratory Bird Treaty Act",NA
"401","MC","Monitoring Committee",NA
"402","MCA","Maximum Commerce Amount",NA
"403","MCD","Marine Conservation District",NA
"404","MD","Maryland",NA
"405","MDMR","Mississippi Department of Marine Resources","state of Mississippi's marine resources agency"
"406","ME","DMR Maine Department of Marine Resources",NA
"407","ME","Maine",NA
"408","ME","McCracken Estimates",NA
"409","MEI","Multivariate ENSO Index",NA
"410","MEW","Model Evaluation Workgroup (for salmon)",NA
"411","MEY","maximum economic yield",NA
"412","MFCMA","Magnuson Fishery Conservation and Management Act","The Fishery Conservation and Management Act was renamed the ""Magnuson Fishery Conservation and Management Act"" in 1980. The MFCMA established the 200-mile fishery conservation zone and the regional fishery management council system."
"413","MFMT","Maximum fishing mortality threshold","A limit identified in the National Standard Guidelines. A fishing mortality rate above this threshold constitutes overfishing."
"414","MHHW","Mean higher high water level (high tide line)",NA
"415","MHI","Main Hawaiian Islands",NA
"416","MITT","Mariana Islands Training and Testing",NA
"417","MMA","Marine Managed Area",NA
"418","MMPA","Marine Mammal Protection Act","The MMPA prohibits the harvest or harassment of marine mammals, although permits for incidental take of marine mammals while commercial fishing may be issued subject to regulation. (See ""incidental take"" for a definition of ""take"")."
"419","MOA","Memorandum of Agreement","A document written between parties to cooperatively work together on an agreed upon project or meet an agreed upon objective. The purpose of an MOA is to have a written understanding of the agreement between parties. The MOA can also be a legal document that is binding and hold the parties responsible to their commitment or just a partnership agreement."
"420","MODIS","Moderate Resolution Imaging Spectroradiometer",NA
"421","MOU","Memorandum of Understanding","A document describing a bilateral or multilateral agreement between parties. It expresses a convergence of will between the parties, indicating an intended common line of action. It most often is used in cases where parties do not intend to imply a legal commitment. It is a more formal alternative to a gentlemen's agreement."
"422","MPA","marine protected area",NA
"423","MPCC","Marine Planning and Climate Change",NA
"424","MPCCC","Marine Planning and Climate Change Committee",NA
"425","MRA","Maximum retainable allowance",NA
"426","MREP","Marine Resource Education Program",NA
"427","MRFSS","Marine Recreational Fisheries Statistics Survey","A national survey conducted by National Marine Fisheries Service to estimate the impact of recreational fishing on marine resources."
"428","MRIP","Marine Recreational Information Program","An ongoing recreational data collection and reporting effort that replaces the MRFSS program that began in the 1970s. MRIP was initiated in 2007 by NOAA Fisheries and a broad collection of scientists, managers, fishermen and others with a stake in sustainable, abundant ocean resources (estimates the number, catch, and effort of recreational fishermen)."
"429","MRIP","Marine Recreational Information Program","federal program by which NOAA Fisheries collects, analyzes and reports fishery-dependent information, or data gathered from recreational anglers"
"430","MS","Mothership",NA
"431","MSA","Magnuson-Stevens Act","This act, also known as the ""Magnuson-Stevens Fishery Conservation and Management Act,"" established the 200-mile fishery conservation zone, the regional fishery management council system, and other provisions of U.S. marine fishery law."
"432","MSC","Management and Science Committee","The principal scientific advisory body of the ASMFC, comprised of representatives from member states, NMFS, and USFWS."
"433","MSE","Management strategy evaluation",NA
"434","MSRA","Magnuson-Stevens Fishery Conservation and Management Reauthorization Act",NA
"435","MSST","Minimum stock size threshold","A threshold biomass used to determine if a stock is overfished. The Council proxy for MSST is B25%."
"436","MSST","Maximum Stock Size Threshold",NA
"437","MSTC","Multispecies Technical Committee","An ASMFC committee tasked with assisting the ISFMP Policy Board on multispecies modeling efforts and facilitating movement towards the use of multispecies model results in management decisions."
"438","MSVPA","Multispecies virtual population analysis","A series of single-species age- structured stock assessment models (VPAs) linked by a simple feeding model and used to calculate natural mortality rates. The goal of the MSVPA is to evaluate fisheries management decisions at the ecosystem level."
"439","MSVPA-X","Expanded multispecies virtual population analysis","An enhanced version of the MSVPA that includes more complex predator-prey interactions and more flexible options for building single-species VPAs."
"440","MSY","Maximum Sustainable Yield","The largest catch that can be taken from a stock over time under existing environmental conditions without curtailing the ability of the stock to replace itself."
"441","MSY","Maximum sustainable yield","An estimate of the largest average annual catch or yield that can be continuously taken over a long period from a stock under prevailing ecological and environmental conditions. Since MSY is a long-term average, it need not be specified annually, but may be reassessed periodically based on the best scientific information available."
"442","MUS","Management Unit Species",NA
"443","MW","Megawatt",NA
"444","Mid-Atlantic Council","Mid-Atlantic Fishery Management Council",NA
"445","NAFO","Northwest Atlantic Fisheries Organization viii",NA
"446","NAO","NOAA Administrative Order",NA
"447","NBBTA","Northern Bristol Bay Trawl Area",NA
"448","NBSRA","Norther Bering Sea Research Area",NA
"449","NC","North Carolina",NA
"450","NCADAC","National Climate Assessment and Development Advisory Committee",NA
"451","NCDC","National Climatic Data Center",NA
"452","NCDENR","North Carolina Department of Environment and Natural Resources",NA
"453","NCDMF","North Carolina Division of Marine Fisheries",NA
"454","NCEI","National Centers for Environmental Information, NOAA",NA
"455","NCRMP","National Coral Reef Monitoring Program",NA
"456","NE","Northeast",NA
"457","NEAMAP","Northeast Area Monitoring and Assessment Program","A cooperative state/federal fisheries independent research and data collection program implemented between the Gulf of Maine and Cape Hatteras, NC."
"458","NEFMC","New England Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore)."
"459","NEFSC","Northeast Fisheries Science Center","NMFS' fisheries research and science arms."
"460","NELHA","Natural Energy Laboratory of Hawaii Authority",NA
"461","NEPA","National Environmental Policy Act","Passed by Congress in 1969, NEPA requires Federal agencies to consider the environment when making decisions regarding their programs. Section 102(2)(C) requires Federal agencies to prepare an Environmental Impact Statement (EIS) before taking major Federal actions that may significantly affect the quality of the human environment. The EIS includes: the environmental impact of the proposed action, any adverse environmental effects which cannot be avoided should the proposed action be implemented, alternatives to the proposed action, the relationship between local short-term uses of the environment and long-term productivity, and any irreversible commitments of resources which would be involved in the proposed action should it be implemented."
"462","NESDIS","National Environmental Satellite, Data, and Information Service",NA
"463","NFWF","National Fish and Wildlife Foundation","One of the world's largest conservation grant-makers, providing funding to support both the public and private sectors to protect and restore the nation's fish, wildlife, plants and habitats."
"464","NGO","Non-Governmental Organization",NA
"465","NH","New Hampshire",NA
"466","NIDP","Notice of Intent to Deny Permit",NA
"467","NJ","New Jersey",NA
"468","NLAA","Not likely to adversely affect",NA
"469","NMFS","National Marine Fisheries Service","The service within NOAA dedicated to the stewardship of living marine resources through science-based conservation and management, and the promotion of healthy ecosystems; also known as NOAA Fisheries Service."
"470","NMFS","National Marine Fisheries Service","A division of the U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA). NMFS is responsible for conservation and management of offshore fisheries (and inland salmon). The NMFS Regional Director is a voting member of the Council."
"471","NMFS NWFSC","National Marine Fisheries Service Northwest Fisheries Science Center",NA
"472","NMFS NWR","National Marine Fisheries Service Northwest Region",NA
"473","NMFS SWR","National Marine Fisheries Service Southwest Region",NA
"474","NMFS WCR","National Marine Fisheries Service West Coast Region",NA
"475","NMS","National Marine Sanctuary",NA
"476","NMSA","National Marine Sanctuaries Act",NA
"477","NMSAS","National Marine Sanctuary of American Samoa",NA
"478","NMSP","National Marine Sanctuaries Program",NA
"479","NOAA","National Oceanic & Atmospheric Administration","The parent agency of National Marine Fisheries Service."
"480","NOAA","National Oceanic and Atmospheric Administration","A federal agency within the Department of Commerce focused on the condition of the oceans and the atmosphere."
"481","NOAA GC","NOAA General Counsel",NA
"482","NOAAS","NOAA ship",NA
"483","NOI","Notice of Intent",NA
"484","NOPS","Notice Of Permit Sanctions",NA
"485","NOR","net operating revenue",NA
"486","NORPAC","North Pacific Database Program",NA
"487","NOS","National Ocean Service",NA
"488","NOVA","Notice Of Violation and Assessment",NA
"489","NPAFC","North Pacific Anadromous Fish Commission",NA
"490","NPCC","Northwest Power and Conservation Council (formerly known as the Northwest Power Planning Council)",NA
"491","NPDES","National Pollutant Discharge Elimination System",NA
"492","NPFMC","North Pacific Fishery Management Council","The NPFMC consists of the state of Alaska, with representation by Washington and Oregon."
"493","NPOA","National Plan of Action",NA
"494","NPPSD","North Pacific Pelagic Seabird Database",NA
"495","NRC","National Research Council",NA
"496","NRCC","Northeast Regional Coordinating Council",NA
"497","NRDC","Natural Resources Defense Council",NA
"498","NS","National Standard",NA
"499","NSAR","National Saltwater Angler Registry",NA
"500","NSF","National Science Foundation",NA
"501","NSG","National Standard Guidelines","Guidelines issued by National Marine Fisheries Service to provide comprehensive guidance for the development of fishery management plans and amendments that comply with the national standards of the Magnuson-Stevens Act. These guidelines are found in Title 50, Code of Federal Regulations, part 600."
"502","NSRKC","Norton Sound Red King Crab",NA
"503","NWFSC","Northwest Fisheries Science Center","In Seattle; a division of NMFS"
"504","NWHI","Northwestern Hawaiian Islands","All islands in the Hawaiian Archipelago, other than the Main Hawaiian Islands (MHI)"
"505","NWIFC","Northwest Indian Fisheries Commission",NA
"506","NWR","National Wildlife Refuge",NA
"507","NWR","Northwest Region",NA
"508","NY","New York",NA
"509","OA","Open-access fishery","The segment of the groundfish fishery or any other fishery for which entry is not controlled by a limited entry permitting program."
"510","OA","operational assessment",NA
"511","OC-CCI","Ocean Color Climate Change Initiative",NA
"512","OCC","Outer Cape Cod","A management area designated under Amendment 3 to the American Lobster FMP."
"513","OCN","Oregon coastal natural (coho)",NA
"514","OCNMS","Olympic Coast National Marine Sanctuary",NA
"515","OCZMA","Oregon Coast Zone Management Act",NA
"516","ODFW","Oregon Department of Fish and Wildlife",NA
"517","OECA","Oculina Experimental Closed Area",NA
"518","OEG","Optimal escapement goal",NA
"519","OEIS","Overseas Environmental Impact Statement",NA
"520","OFL","Overfishing Limit","The estimate of the catch level above which overfishing is occurring."
"521","OFP-SPC","Oceanic Fisheries Program of the Secretariat of the Pacific Community",NA
"522","OHAPC","Oculina Habitat Area of Particular Concern",NA
"523","OLE","Office of Law Enforcement",NA
"524","OMB","Office of Management and Budget",NA
"525","ONI","Oceanic Niño Index",NA
"526","OR","Oregon",NA
"527","OSP","Optimum sustainable production, Oregon State Police",NA
"528","OST","Office of Science and Technology",NA
"529","OSU","Oregon State University",NA
"530","OSWAG","Other Shallow-water Grouper",NA
"531","OTEC","Ocean Thermal Energy Conversion",NA
"532","OY","Optimum Yield","The long-term average amount of desired yield (greatest overall benefit to the nation) from a stock, stock complex, or fishery. Because the population size of fish stock fluctuates every year, the amount of fish that is available to the fishery in any given year may be above or below."
"533","OY","Optimum yield","The amount of fish that will provide the greatest overall benefit to the Nation, particularly with respect to food production and recreational opportunities, and taking into account the protection of marine ecosystems. The OY is developed on the basis of the Maximum Sustained Yield from the fishery, taking into account relevant economic, social, and ecological factors. In the case of overfished fisheries, the OY provides for rebuilding to a level that is consistent with producing the Maximum Sustained Yield for the fishery."
"534","Observer Program","North Pacific Groundfish Observer Program",NA
"535","P*","P-star","Probability of overfishing"
"536","PBF","Pacific Bluefin Tuna",NA
"537","PBR","Potential biological removal","The maximum number of animals, not including natural mortalities, that may be removed from a marine mammal stock while allowing that stock to reach or maintain its optimum sustainable population."
"538","PCE","Primary Constituent Element",NA
"539","PCFFA","Pacific Coast Federation of Fishermen's Associations",NA
"540","PDF","probability density function","used to generate the P*"
"541","PDO","Pacific decadal oscillation","A long-term, El Nino-like pattern of Pacific Ocean climate variability."
"542","PDT","Plan Development Team","group of individuals who are knowledgeable concerning the scientific facts and fishery management issues concerning a designated fish stock and who are appointed and convened by a Management Board to prepare an FMP or amendment and its supporting Source Document."
"543","PEEC","Preview of Economic and Ecological Conditions",NA
"544","PEIS","Programmatic Environmental Impact Statement","An EIS that applies to an entire program or management regime, rather than a specific action."
"545","PFMC","Pacific Fishery Management Council",NA
"546","PIBKC","Pribilof Island Blue King Crab",NA
"547","PICTs","Pacific Island Countries and Territories",NA
"548","PID","Public Information Document","A document of the ASMFC which contains preliminary discussions of biological, environmental, social, and economic information, fishery issues, and potential management options for a proposed FMP or amendment."
"549","PIE rule","Program Improvements and Enhancements rule",NA
"550","PIFSC","Pacific Islands Fisheries Science Center",NA
"551","PIGKC","Pribilof Island Golden King Crab",NA
"552","PIHCZ","Pribilof Islands Habitat Conservation Zone",NA
"553","PIMS","Permits Information Management Systems",NA
"554","PIRKC","Pribilof Islands Red King Crab",NA
"555","PIRO","Pacific Islands Regional Office, National Marine Fisheries Service",NA
"556","PMAX",NA,"The estimated probability of reaching TMAX. May not be less than 50%."
"557","PMUS","Pacific Pelagic Management Unit Species","Species managed under the Pelagic FEP"
"558","PNW","Pacific Northwest",NA
"559","POC","point of contact",NA
"560","POES","Polar Operational Environmental Satellites",NA
"561","POP","Pacific ocean perch",NA
"562","PPA","Preliminary preferred alternative",NA
"563","PPGFA","Pago Pago Game Fishing Association",NA
"564","PPS","proportional probability sampling",NA
"565","PPT","Pelagic Fishery Ecosystem Plan Team",NA
"566","PR","Puerto Rico",NA
"567","PRA","Paperwork Reduction Act",NA
"568","PRD","Protected Resources Division",NA
"569","PRD","Protected Resources Division of Southeast Regional Office",NA
"570","PRDNER","Puerto Rico Department of Natural and Environmental Resources",NA
"571","PRFC","Potomac River Fisheries Commission","An interstate compact of the states of Maryland and Virginia charged with coordinating the regulation of the fisheries of the main stem of the tidal Potomac River."
"572","PRIA","Pacific Remote Island Areas",NA
"573","PRT","Plan Review Team","The portion of a stock caught by a single unit of fishing effort."
"574","PS","producer surplus",NA
"575","PSA","productivity-susceptibility analyses",NA
"576","PSC","Pacific Salmon Commission",NA
"577","PSC","Prohibited Species Catch",NA
"578","PSE","Proportional Standard Error",NA
"579","PSEIS","Programmatic Supplemental Environmental Impact Statement",NA
"580","PSMFC","Pacific States Marine Fisheries Commission","The PSMFC is a non-regulatory agency that serves Alaska, California, Idaho, Oregon and Washington. PSMFC (headquartered in Portland) provides a communication exchange between the Pacific Fishery Management Council and the North Pacific Fishery Management Council, and a mechanism for Federal funding of regional fishery projects. The PSMFC provides information in the form of data services for various fisheries."
"581","PST","Pacific Salmon Treaty","Created in 1985 through cooperative efforts of tribes, state governments, U.S. and Canadian governments, and sport and commercial fishing interests. The Pacific Salmon Commission (PSC) was created to implement the treaty. The PSC establishes fishery and allocation regimes, develops management recommendations and is a forum for working on fishery issues."
"582","PT","Plan Team",NA
"583","PWS","Prince William Sound",NA
"584","PacFIN","Pacific Coast Fisheries Information Network","Provides commercial fishery information for Washington, Oregon, and California. Maintained by the Pacific States Marine Fisheries Commission."
"585","PlanBsmooth","Plan B' model using log-linear regression and Loess smoothing",NA
"586","PopDy","Population Dynamics Branch of NEFSC",NA
"587","QA/QC","Quality Assurance/Quality Control",NA
"588","QP","Quota pounds",NA
"589","QS","Quota share","A share of the Total Allowable Catch (TAC) allocated to an operating unit such as a vessel, a company or an individual fisherman (individual quota) depending on the system of allocation. Quotas may or may not be transferable, inheritable, and tradable. While generally used to allocate total allowable catch, quotas could be used also to allocate fishing effort or biomass."
"590","QUEST","Quantitative Ecology and Socioeconomics Training, NOAA program",NA
"591","R",NA,"programming environment for statistical processing and presentation"
"592","R/S","recruits-per-spawner",NA
"593","R/V","Research vessel",NA
"594","RA","Regional Administrator of NMFS",NA
"595","RCA","Rockfish Conservation Area, riparian conservation area",NA
"596","REFM","Resource Ecology Fisheries Management",NA
"597","RER","Recovery Exploitation Rates",NA
"598","RF","Reef Fish",NA
"599","RF","Rockfish",NA
"600","RFA","Regulatory Flexibility Analysis (or Act)","Regulatory Flexibility Act. The Regulatory Flexibility Act (5 U.S.C. 601-612) requires federal agencies to consider the effects of their regulatory actions on small businesses and other small entities and to minimize any undue disproportionate burden."
"601","RFAA","Regulatory Flexibility Act Analysis",NA
"602","RFFA","Reasonably foreseeable future action",NA
"603","RFMA","Regional Fishery Management Agreements",NA
"604","RFMO","Regional Fishery Management Organization",NA
"605","RHL","Recreational harvest limit","A measure that sets an upper limit for annual recreational harvest for species that are jointly managed by the ASMFC and Regional Management Councils."
"606","RI","Rhode Island",NA
"607","RI DFW","Rhode Island Department of Fish and Wildlife",NA
"608","RIMPAC","Rim of the Pacific",NA
"609","RIR","Regulatory Impact Review","RIRs are prepared to determine whether a proposed regulatory action is ""major."" The RIR examines alternative management measures and their economic impacts."
"610","RKC","Red King Crab",NA
"611","ROA","Range of alternatives",NA
"612","ROD","Record of Decision",NA
"613","ROFR","Right of First Refusal",NA
"614","ROV","Remotely operated vehicle","E.g., a submarine"
"615","RPA","Reasonable and prudent alternative",NA
"616","RPB","Regional Planning Body",NA
"617","RPM","reasonable and prudent measures",NA
"618","RQ","regional quotient",NA
"619","RQE","Recreational Quota Entity",NA
"620","RSW","Refrigerated seawater",NA
"621","RTA","Research Track Assessment",NA
"622","RVC","Reef Visual Census","Fishery independent study that collects data on both juvenile and adult life stages"
"623","RecFin","Recreational Fishery Information Network","A database managed by the Pacific States Marine Fisheries Commission that provides recreational fishery information for Washington, Oregon, and California."
"624","S-K","Saltonstall-Kennedy Act","The Saltonstall-Kennedy Act allocates 30% of the duties for imported fishery products to technological, biological, marketing, and other research and services in order to promote the free flow of domestically-produced fishery products and to develop markets for domestic fishery products."
"625","S-R","Stock-recruitment curve","A classic discrete population model which gives the expected number of individuals in generation (e.g., recruitment) as a function of the number of individuals in the previous generation (e.g., spawning stock biomass."
"626","SA","Spawning Abundance",NA
"627","SA","Subarea as specified by NAFO",NA
"628","SADL","South Atlantic Deepwater Longline Survey",NA
"629","SAFE","Stock Assessment and Fishery Evaluation","A SAFE document is a document prepared by the Council that provides a summary of the most recent biological condition of species in the fishery management unit, and the social and economic condition of the recreational and commercial fishing industries, including the fish processing sector. It summarizes, on a periodic basis, the best available information concerning the past, present, and possible future condition of the stocks and fisheries managed in the FMP."
"630","SAFIS","Standard Atlantic Fisheries Information System",NA
"631","SAFMC","South Atlantic Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore)."
"632","SAMSY","Spawning Abundance at MSY",NA
"633","SAP","Stock Assessment Panel",NA
"634","SAR","Stock Assessment Report",NA
"635","SAS","Salmon Advisory Subpanel",NA
"636","SAS","Statistical Analysis Software application viii",NA
"637","SASC","Stock Assessment Subcommittee","A group of persons who are expert in stock assessment methodologies and scientific/technical matters relating to a specific fish stock. The SASC is jointly appointed by the ASC and the species technical committee, with membership consisting of a combination of SAC members and technical committee members. The Subcommittee is responsible for conducting the species assessment and reports directly to the species technical committee."
"638","SAW","Stock Assessment Workshop",NA
"639","SAW/SARC","The Northeast Regional Stock Assessment Workshop and Stock Assessment Review Committee, respectively","The SAW is a formal scientific peer-review process for evaluating and presenting stock assessment results to managers for fish stocks of the Northwest Atlantic. Assessments are prepared by SAW working groups and reviewed by an independent panel of stock assessment experts called the SARC."
"640","SB","Spawning Biomass",NA
"641","SBA","Small Business Act",NA
"642","SBA","Small Business Administration",NA
"643","SBMSY","Spawning Biomass at MSY",NA
"644","SBRM","Standard Bycatch Reporting Methodology",NA
"645","SC","Standing Committee of the Western and Central Pacific Fisheries Commission",NA
"646","SCA","Statistical catch at age","Age-based stock assessment methods utilizing catch-at-age data to derive estimates of population size and fishing mortality. However, unlike VPA, SCAA model parameters are estimated by working forward in time, rather than backwards as is done in VPA analysis."
"647","SCDNR","South Carolina Department of Natural Resources",NA
"648","SCS","Small coastal shark complex","A shark species grouping that includes Atlantic sharpnose, finetooth and bonnethead sharks."
"649","SDC","status determination criteria",NA
"650","SEAMAP","Southeast Area Monitoring and Assessment Program","A cooperative state, federal, and university program for the collection, management, and dissemination of fishery-independent data and information in the Southeastern US and Caribbean."
"651","SECOORA","Southeast Coastal Ocean Observing Regional Association",NA
"652","SEDAR","Southeast Data, Assessment, and Review","The stock assessment peer- review process used by the South Atlantic, Gulf of Mexico, and Caribbean Fishery Management Councils, and the ASMFC to improve the quality and reliability of fishery stock assessments in the US Southeast."
"653","SEDAR","Southeast Data, Assessment, and Review","a cooperative process among the Southeast Regional Fishery Management Councils, NOAA Fisheries and the Interstate Fisheries Commissions with the goal to improve the quality and reliability of fishery resource assessments within the southeastern U.S."
"654","SEFSC","Southeast Fisheries Science Center","NMFS' fisheries research and science arms."
"655","SEFSC","Southeast Fisheries Science Center","headquartered in Miami, the Center conducts a variety of research to inform marine resource management in the Gulf of Mexico, Caribbean and South Atlantic."
"656","SEG","Sustainable escapement goal",NA
"657","SEIS","supplemental environmental impact statement","reviews the results of an existing environmental impact statement by considering new or additional environmental impacts"
"658","SEP","Socioeconomic Panel","panel of members within the scientific and statistical committees who are knowledgeable about the social and economic aspects of Gulf of Mexico fisheries"
"659","SERFS","Southeast Reef Fish Survey",NA
"660","SERO","Southeast Regional Office","Office located in St. Petersburg, Florida, operating under NOAA Fisheries, works with scientists and fisheries managers to safeguard sustainable fishing practices, protect endangered species and marine mammals and conserve marine habitats"
"661","SESSC","Socioeconomic Scientific and Statistical Committee","panel of members within the scientific and statistical committees who are knowledgeable about the social and economic aspects of Gulf of Mexico fisheries"
"662","SET","Sustainable escapement threshold",NA
"663","SEZ","Southern Exclusion Zone, Hawaii",NA
"664","SFA","Sustainable Fisheries Act","amendment to the Magnuson-Stevens Fishery Conservation and Management Act to bolster requirements to prevent overfishing, set standards for fishery management plans to specify measures for stock status determinations, added three new national standards to address fishery concerns, and introduced habitat as integral to fisheries management"
"665","SFA","Saipan Fishermen's Association",NA
"666","SFD","Sustainable Fisheries Division, NMFS PIRO",NA
"667","SFM","Shortfin Mako shark",NA
"668","SFO","Sustainable Fisheries Office (NMFS)",NA
"669","SFTFA","St. Thomas Fishermen's Association",NA
"670","SG","Snapper grouper",NA
"671","SHARKWG","Shark Working Group, ISC",NA
"672","SIA","Social Impact Assessment","similar to environmental impact assessments, it is a method of assessing cultural and social impacts from alternative fishery management actions or policies"
"673","SIA","Social impact analysis",NA
"674","SIR","Supplemental Information Report",NA
"675","SMAST","School for Marine Science and Technology (New Bedford, Maine)",NA
"676","SMBKC","St. Matthews Blue King Crab",NA
"677","SMP","System Management Plan (for protected areas)",NA
"678","SMZ","special management zone","designation of an area within artificial reef sites that prohibits the use of some fishing gear to prevent overexploitation of species but acts as an incentive to increase fish populations in an area and/or fishing opportunities that did not previously exist"
"679","SNE","Southern New England","Used to describe a population segment of the American lobster resource."
"680","SNE/MA","Southern New England/Mid-Atlantic","Used to describe a population segment of the winter flounder resource."
"681","SNEMA","Southern New England and Mid-Atlantic Bight",NA
"682","SNP","Single nucleotide polymorphism",NA
"683","SOFI","Statement of Financial Interest","a form asking questions pertaining to financial interests and disclosures given to voting members of regional fishery management councils, SSC members and Council staff as required by the Magnuson-Stevens Act. The purpose of the report is to assist the involved parties with avoiding conflicts between official duties and private financial interests or affiliations"
"684","SOI","#VALUE!","Statistics of income"
"685","SONCC","Southern Oregon Northern California coastal coho (an evolutionarily significant unit)",NA
"686","SONCCWG","Ad Hoc Southern Oregon Northern California Coast Coho Workgroup",NA
"687","SOPP","Statement of Organization, Practices, and Procedures",NA
"688","SOW","statement of work","a project management document that describes step-wise, the project's work requirements including deliverables, methods and timelines"
"689","SPA","sanctuary preservation area","a distinct biologically important area that helps sustain critical marine species and habitats."
"690","SPC","Secretariat of the Pacific Community","A technical assistance organization comprising the independent island states of the tropical Pacific Ocean, dependent territories and the metropolitan countries of Australia, New Zealand, USA, and France; now Pacific Community"
"691","SPLASH","Structure of Populations, Levels of Abundance, and Status of Humpbacks",NA
"692","SPR","Spawning potential ratio","A biological index used to assess red drum stock status."
"693","SPR","spawning potential ratio","the ratio of the number of eggs that could be produced by a fish over its lifetime that has recruited to a fishery, over the number of eggs that could be produced by an average fish in a stock that is unfished"
"694","SPR","Spawning potential ratio","The ratio of spawning potential per recruit under a given fishing regime, relative to the spawning potential per recruit with no fishing."
"695","SPR","Spawning Potential Ratio","A method to measure the effects of fishing pressure on a stock by expressing the spawning potential of the fished biomass as a percentage of the unfished virgin spawning biomass. Stocks are deemed to be overfished when the SPR<20%."
"696","SPR","Spawning biomass per recruit",NA
"697","SRD","Science and Research Director","the director of NOAA's different regional Fisheries Science Centers"
"698","SRFC","Sacramento River fall Chinook",NA
"699","SRFS","State Reef Fish Survey","Florida's supplemental reef fish survey for certain species that replaced the GRFS survey in July of 2020"
"700","SRHS","Southeast Region Headboat Survey","a federal data collection program that collects fisheries dependent data such as lengths, weights and sex from fish caught on headboat trips. The survey collects data from vessels throughout the southeast region."
"701","SRI","Sacramento River index",NA
"702","SRKW","Southern resident killer whales",NA
"703","SRKWWG","Ad Hoc Southern Resident Killer Whale Workgroup",NA
"704","SRT","Status Review Team","Used as part of the Endangered Species Act listing process."
"705","SS","stock synthesis","an age-structured population dynamics model that is used to assess the impacts of fisheries on stocks while also accounting for environmental impacts or stressors."
"706","SSB","Spawning stock biomass","The total weight of the mature females within a stock of fish; frequently used instead of total biomass as a better measure of the ability of a stock to replenish itself."
"707","SSB","spawning stock biomass","the total weight of all the fish in a stock that are old enough to reproduce, usually considered to be all fish beyond a certain age or size in which 50% of the individuals are sexually mature."
"708","SSBMSY","Spawning Stock Biomass at MSY",NA
"709","SSBMSY proxy","proxy value for spawning stock biomass estimation for maximum sustainable yield",NA
"710","SSBR","spawning stock biomass per recruit","an estimate of the lifetime reproductive potential of an average recruit. Important for examining the population growth potential of a stock"
"711","SSBTarget","theoretically ideal spawning Biomass",NA
"712","SSBThreshold","threshold for spawning stock biomass that indicates overfished status",NA
"713","SSBproxy","proxy value for spawning stock biomass estimate",NA
"714","SSC","Scientific and Statistical Committee","An advisory committee of a regional fishery management council composed of scientists, economists, and other technical experts that assist in gathering and analyzing statistical, biological, ecological, economic, social, and other scientific information that is relevant to the management of council fisheries."
"715","SSC","Scientific and Statistical Committee","a committee composed of scientists in the fields of biology, statistics, economics, the environment and social science. The committee makes recommendations to the Regional Councils on assessments and other technical matters leading to more informed fishery management decisions."
"716","SSC","Scientific and Statistical Committee","An advisory body to the Council comprising experts in fisheries, marine biology, oceanography, etc."
"717","SSFP","Sustainable Salmon Fisheries Policy",NA
"718","SSL","Steller sea lion",NA
"719","SSMZ","Spawning Special Management Zones",NA
"720","SST","Sea surface temperature",NA
"721","STAR","Stock assessment review",NA
"722","STAR Panel","Stock Assessment Review Panel","A panel set up to review stock assessments for particular fisheries. In the past there have been STAR panels for sablefish, rockfish, squid, and other species."
"723","STD","Standard Deviation",NA
"724","STDN","Sea Turtle Disentanglement Network",NA
"725","STF","Subtropical Front",NA
